('!',)	('!', 'SENT')=2,
('investment',)	('investment', 'NN')=1,
('investors',)	('investor', 'NNS')=1,
('involuntary',)	('involuntary', 'JJ')=1,
('irony',)	('irony', 'NN')=2,
('is',)	('be', 'VBZ')=187,
('island',)	('island', 'NN')=8,
('isolated',)	('isolated', 'JJ')=1,
('issues',)	('issue', 'NNS')=1,
('it',)	('it', 'PP')=63,
('its',)	('its', 'PP$')=17,
('itself',)	('itself', 'PP')=5,
('jealous',)	('jealous', 'JJ')=1,
('jealousies',)	('jealousy', 'NNS')=1,
('jealousy',)	('jealousy', 'NN')=2,
('job',)	('job', 'NN')=1,
('join',)	('join', 'VV')=1,
('joined',)	('join', 'VVN')=1,
('journalism',)	('journalism', 'NN')=2,
('journalist',)	('journalist', 'NN')=1,
('journalistic',)	('journalistic', 'JJ')=1,
('journey',)	('journey', 'NN')=3,
('judged',)	('judge', 'VVN')=1,
('judgement',)	('judgment', 'NN')=2,
('jump',)	('jump', 'NN')=1,
('jungi',)	('jungi', 'NNS')=1,
('junk',)	('junk', 'NN')=1,
('just',)	('just', 'RB')=1,
('keep',)	('keep', 'VVP')=1,
('keeps',)	('keep', 'NNS')=1,
('kept',)	('keep', 'VVD')=2,
('kill',)	('kill', 'VV')=2,
('killings',)	('killing', 'NNS')=3,
('kin',)	('kin', 'NN')=2,
('kind',)	('kind', 'NN')=2,
('kinship',)	('kinship', 'NN')=2,
('kiss',)	('kiss', 'NN')=3,('kiss', 'VV')=1,
('kissing',)	('kissing', 'NN')=1,
('kneel',)	('kneel', 'VV')=1,
('knew',)	('know', 'VVD')=4,
('knife',)	('knife', 'NN')=1,
('know',)	('know', 'VV')=1,('know', 'VVP')=1,
('known',)	('know', 'VVN')=2,
('knows',)	('know', 'VVZ')=1,
('lack',)	('lack', 'NN')=1,
('lacked',)	('lack', 'VVD')=1,
('land',)	('land', 'NN')=1,
('lands',)	('land', 'NNS')=1,
('landscape',)	('landscape', 'NN')=4,
('landscapes',)	('landscape', 'NNS')=1,
('languishes',)	('languish', 'VVZ')=2,
('last',)	('last', 'JJ')=4,
('late',)	('late', 'JJ')=1,
('lately',)	('lately', 'RB')=1,
('later',)	('late', 'JJR')=2,('later', 'RBR')=1,
('latter',)	('latter', 'NN')=1,
('latterly',)	('latterly', 'RB')=1,
('laugh',)	('laugh', 'VV')=1,
('lead',)	('lead', 'VV')=2,
('leader',)	('leader', 'NN')=1,
('leaders',)	('leader', 'NNS')=1,
('leadership',)	('leadership', 'NN')=1,
('leading',)	('leading', 'JJ')=1,
('learnt',)	('learn', 'VVN')=1,
('leave',)	('leave', 'VV')=1,
('leaves',)	('leave', 'VVZ')=2,
('leaving',)	('leave', 'VVG')=2,
('led',)	('lead', 'VVN')=2,
('left',)	('leave', 'VVN')=4,('leave', 'VVD')=1,
('lends',)	('lend', 'VVZ')=1,
('lent',)	('lend', 'VVN')=1,
('less',)	('less', 'JJR')=5,('less', 'RBR')=3,
('let',)	('let', 'VVN')=2,('let', 'VV')=1,
('letters',)	('letter', 'NNS')=1,
('letting',)	('let', 'VVG')=2,
('level',)	('level', 'NN')=1,
('liberal',)	('liberal', 'JJ')=2,
('life',)	('life', 'NN')=6,
('light',)	('light', 'NN')=3,
('light-skinned',)	('light-skin', 'VVN')=1,
('lightly',)	('lightly', 'RB')=1,
('like',)	('like', 'IN')=15,
('liked',)	('like', 'VVD')=1,
('likelihood',)	('likelihood', 'NN')=1,
('likely',)	('likely', 'JJ')=1,
('liking',)	('liking', 'NN')=1,
('lilac',)	('lilac', 'JJ')=1,
('limitations',)	('limitation', 'NNS')=1,
('line',)	('line', 'NN')=2,
('linear',)	('linear', 'JJ')=1,
('lines',)	('line', 'NNS')=4,
('lit',)	('light', 'VVN')=1,
('literature',)	('literature', 'NN')=2,
('litter',)	('litter', 'VVP')=1,
('little',)	('little', 'RB')=2,
('live',)	('live', 'VV')=1,
('lived',)	('live', 'VVD')=1,
('lives',)	('live', 'VVZ')=2,
('living',)	('living', 'NN')=1,
('local',)	('local', 'JJ')=2,
('located',)	('locate', 'VVN')=2,
('long',)	('long', 'RB')=3,
('look',)	('look', 'VV')=1,
('looked',)	('look', 'VVD')=1,
('looking',)	('look', 'VVG')=3,
('looks',)	('look', 'VVZ')=1,('look', 'NNS')=1,
('loot',)	('loot', 'NN')=1,
('looted',)	('loot', 'VVN')=3,
('losing',)	('lose', 'VVG')=1,
('lost',)	('lose', 'VVN')=2,
('love',)	('love', 'NN')=4,('love', 'VVP')=1,
('lover',)	('lover', 'NN')=1,
('loves',)	('love', 'VVZ')=1,
('lucid',)	('lucid', 'JJ')=1,
('lunch',)	('lunch', 'NN')=1,
('lurch',)	('lurch', 'NN')=2,
('machismo',)	('machismo', 'NN')=1,
('made',)	('make', 'VVN')=7,('make', 'VVD')=1,
('magazines',)	('magazine', 'NNS')=1,
('magic',)	('magic', 'JJ')=1,
('magical',)	('magical', 'JJ')=1,
('maid',)	('maid', 'NN')=1,
('mainly',)	('mainly', 'RB')=1,
('make',)	('make', 'VV')=7,
('make-up',)	('make-up', 'NN')=1,
('makers',)	('maker', 'NNS')=1,
('makes',)	('make', 'VVZ')=4,('make', 'NNS')=1,
('making',)	('make', 'VVG')=5,('making', 'NN')=1,
('man',)	('man', 'NN')=14,
('manages',)	('manage', 'VVZ')=1,
('managing',)	('manage', 'VVG')=1,
('manliness',)	('manliness', 'NN')=1,
('manners',)	('manner', 'NNS')=2,
('mansion',)	('mansion', 'NN')=1,
('mantra',)	('mantra', 'NN')=1,
('many',)	('many', 'JJ')=3,
('marginality',)	('marginality', 'NN')=1,
('marijuana',)	('marijuana', 'NN')=1,
('mark',)	('mark', 'NN')=1,
('market',)	('market', 'NN')=1,
('marks',)	('mark', 'NNS')=1,
('marriages',)	('marriage', 'NNS')=1,
('married',)	('marry', 'VVN')=1,
('marry',)	('marry', 'VV')=2,
('masks',)	('masque', 'NNS')=1,
('master',)	('master', 'NN')=1,
('masterpiece',)	('masterpiece', 'NN')=2,
('masterpieces',)	('masterpiece', 'NNS')=1,
('masts',)	('mast', 'NNS')=1,
('materialist',)	('materialist', 'NN')=1,
('matted',)	('matted', 'JJ')=1,
('matter',)	('matter', 'NN')=1,
('matters',)	('matter', 'NNS')=1,
('may',)	('may', 'MD')=28,
('me',)	('me', 'PP')=7,
('mean',)	('mean', 'VV')=2,('mean', 'JJ')=1,
('meaning',)	('meaning', 'NN')=2,
('meaningful',)	('meaningful', 'JJ')=1,
('meanings',)	('meaning', 'NNS')=2,
('means',)	('mean', 'NNS')=1,('means', 'NN')=1,('mean', 'VVZ')=1,
('meant',)	('mean', 'VVN')=2,('mean', 'VVD')=1,
('measure',)	('measure', 'NN')=1,
('medieval',)	('medieval', 'JJ')=1,
('meditation',)	('meditation', 'NN')=1,
('medium',)	('medium', 'NN')=1,
('meetings',)	('meeting', 'NNS')=1,
('memories',)	('memory', 'NNS')=1,
('men',)	('man', 'NNS')=5,
('mercenary',)	('mercenary', 'JJ')=1,
('merchants',)	('merchant', 'NNS')=1,
('merciless',)	('merciless', 'JJ')=1,
('mercilessness',)	('mercilessness', 'NN')=1,
('mere',)	('mere', 'JJ')=1,
('merely',)	('merely', 'RB')=1,
('messages',)	('message', 'NNS')=1,
('met',)	('meet', 'VVN')=1,
('metropolitan',)	('metropolitan', 'JJ')=1,
('midday',)	('midday', 'NN')=1,
('middle',)	('middle', 'JJ')=3,('middle', 'NN')=1,
('might',)	('might', 'MD')=16,('might', 'NN')=1,
('military',)	('military', 'JJ')=1,
('mind',)	('mind', 'NN')=6,('mind', 'VV')=1,
('mingling',)	('mingle', 'VVG')=4,
('minister',)	('minister', 'NN')=1,
('miscegenation',)	('miscegenation', 'NN')=1,
('misfit',)	('misfit', 'NN')=1,
('misleading',)	('misleading', 'JJ')=1,
('miss',)	('miss', 'VVP')=1,
('mix',)	('mix', 'VV')=1,
('mixed',)	('mixed', 'JJ')=1,
('modern',)	('modern', 'JJ')=2,
('modes',)	('mode', 'NNS')=1,
('modishness',)	('modishness', 'NN')=1,
('moments',)	('moment', 'NNS')=2,
('momentum',)	('momentum', 'NN')=1,
('money',)	('money', 'NN')=1,
('monographs',)	('monograph', 'NNS')=1,
('monument',)	('monument', 'NN')=1,
('moon',)	('moon', 'NN')=1,
('more',)	('more', 'RBR')=10,('more', 'JJR')=8,
('mosques',)	('mosque', 'NNS')=1,
('most',)	('most', 'RBS')=3,('most', 'JJS')=2,
('motives',)	('motive', 'NNS')=1,
('motto',)	('motto', 'NN')=2,
('mottoes',)	('motto', 'NNS')=1,
('mounds',)	('mound', 'NNS')=1,
('mountain',)	('mountain', 'NN')=1,
('mountains',)	('mountain', 'NNS')=1,
('mouth',)	('mouth', 'NN')=1,
('movement',)	('movement', 'NN')=1,
('moves',)	('move', 'VVZ')=1,
('much',)	('much', 'RB')=4,('much', 'JJ')=2,
('murder',)	('murder', 'NN')=2,
('murdered',)	('murder', 'VVN')=2,
('murders',)	('murder', 'NNS')=2,
('music',)	('music', 'NN')=2,
('musician',)	('musician', 'NN')=1,
('must',)	('must', 'MD')=3,
('muzzy',)	('muzzy', 'JJ')=1,
('my',)	('my', 'PP$')=11,
('myself',)	('myself', 'PP')=1,
('mysterious',)	('mysterious', 'JJ')=3,
('mystery',)	('mystery', 'NN')=2,
('mystification',)	('mystification', 'NN')=1,
('mystique',)	('mystique', 'NN')=1,
('myths',)	('myth', 'NNS')=3,
('n&apos;t',)	('n&apos;t', 'NN')=5,('n&apos;t', 'JJ')=1,
('name',)	('name', 'NN')=2,
('named',)	('name', 'VVN')=1,
('names',)	('name', 'NNS')=2,
('narrated',)	('narrate', 'VVN')=1,
('narrative',)	('narrative', 'NN')=2,
('narrator',)	('narrator', 'NN')=2,
('natural',)	('natural', 'JJ')=4,
('nature',)	('nature', 'NN')=3,
('near',)	('near', 'IN')=2,('near', 'JJ')=1,
('nearby',)	('nearby', 'RB')=1,
('necessitated',)	('necessitate', 'VVN')=1,
('need',)	('need', 'VV')=2,('need', 'NN')=1,('need', 'MD')=1,
('negative',)	('negative', 'JJ')=1,
('neither',)	('neither', 'CC')=1,('neither', 'DT')=1,
('never',)	('never', 'RB')=8,
('nevertheless',)	('nevertheless', 'RB')=2,
('new',)	('new', 'JJ')=3,
('next',)	('next', 'JJ')=4,('next', 'IN')=1,
('next to',)	('next_to', 'RB')=1,
('nigger',)	('nigger', 'NN')=1,
('night',)	('night', 'NN')=1,
('nineteenth',)	('nineteenth', 'JJ')=1,
('nineteenth-century',)	('nineteenth-century', 'NP')=1,
('no',)	('no', 'DT')=8,('no', 'RB')=1,
('no longer',)	('no_longer', 'JJS')=1,
('no matter what',)	('no_matter_what', 'VV')=1,
('nobodies',)	('nobody', 'NNS')=1,
('noise',)	('noise', 'NN')=2,
('none',)	('none', 'NN')=2,
('nor',)	('nor', 'CC')=1,
('normal',)	('normal', 'JJ')=1,
('normally',)	('normally', 'RB')=1,
('nostalgia',)	('nostalgia', 'NN')=1,
('not',)	('not', 'RB')=30,
('noted',)	('note', 'VVD')=1,
('nothing',)	('nothing', 'NN')=8,
('nothings',)	('nothing', 'NNS')=1,
('notice',)	('notice', 'VV')=2,
('noticed',)	('notice', 'VVD')=3,
('notion',)	('notion', 'NN')=1,
('novel',)	('novel', 'NN')=24,('novel', 'JJ')=1,
('novelist',)	('novelist', 'NN')=1,
('novella',)	('novella', 'NN')=1,
('novels',)	('novel', 'NNS')=4,
('now',)	('now', 'RB')=10,
('now that',)	('now_that', 'NN')=1,
('number',)	('number', 'NN')=1,
('nut-brown',)	('nut-brown', 'JJ')=2,
('object',)	('object', 'NN')=4,('object', 'VVP')=1,('object', 'VV')=1,
('objectionable',)	('objectionable', 'JJ')=1,
('objects',)	('object', 'NNS')=2,
('obscure',)	('obscure', 'VV')=1,
('observed',)	('observe', 'VVN')=1,('observe', 'VVD')=1,
('obviously',)	('obviously', 'RB')=1,
('occasion',)	('occasion', 'NN')=1,('occasion', 'VV')=1,
('occasionally',)	('occasionally', 'RB')=1,
('occasions',)	('occasion', 'NNS')=2,
('occupation',)	('occupation', 'NN')=1,
('occupy',)	('occupy', 'VV')=2,
('occur',)	('occur', 'VV')=1,('occur', 'VVP')=1,
('occurred',)	('occur', 'VVN')=1,('occur', 'VVD')=1,
('occurs',)	('occur', 'VVZ')=1,
('of',)	('of', 'IN')=352,
('of course',)	('of_course', 'NN')=1,
('off',)	('off', 'RP')=2,('off', 'IN')=1,
('offended',)	('offend', 'VVN')=1,
('often',)	('often', 'RB')=4,
('old',)	('old', 'JJ')=7,
('ominous',)	('ominous', 'JJ')=1,
('on',)	('on', 'IN')=44,('on', 'RP')=2,('on', 'RB')=1,
('on to',)	('on_to', 'RB')=1,
('once',)	('once', 'RB')=2,
('one',)	('one', 'CD')=12,('one', 'NN')=3,('one', 'PP')=2,
('one-sided',)	('one-sided', 'JJ')=1,
('only',)	('only', 'RB')=11,('only', 'JJ')=1,
('open',)	('open', 'JJ')=1,
('operate',)	('operate', 'VVP')=1,
('opinions',)	('opinion', 'NNS')=1,
('opposite',)	('opposite', 'JJ')=1,
('oppressed',)	('oppress', 'VVD')=1,
('oppressor',)	('oppressor', 'NN')=1,
('or',)	('or', 'CC')=26,
('oracularly',)	('oracularly', 'RB')=1,
('ordinary',)	('ordinary', 'JJ')=1,
('origin',)	('origin', 'NN')=1,
('original',)	('original', 'JJ')=1,
('originally',)	('originally', 'RB')=1,
('orphan',)	('orphan', 'NN')=2,
('other',)	('other', 'JJ')=14,
('other than',)	('other_than', 'NN')=1,
('others',)	('other', 'NNS')=3,
('our',)	('our', 'PP$')=3,
('out',)	('out', 'RP')=7,
('out of',)	('out_of', 'RB')=2,('out_of', 'JJ')=2,('out_of', 'NN')=2,
('outbreak',)	('outbreak', 'NN')=1,
('outcast',)	('outcast', 'NN')=1,('outcast', 'JJ')=1,
('outlines',)	('outline', 'VVZ')=1,
('outlook',)	('outlook', 'NN')=2,
('outside',)	('outside', 'IN')=2,
('outsider',)	('outsider', 'NN')=2,
('over',)	('over', 'IN')=1,
('overwhelmed',)	('overwhelm', 'VVN')=2,
('owe',)	('owe', 'VVP')=1,
('own',)	('own', 'JJ')=5,('own', 'VV')=1,
('p&apos;ing',)	('p&apos;ing', 'JJ')=1,
('pace',)	('pace', 'NN')=1,
('paid',)	('pay', 'VVN')=1,
('pain&apos;',)	('pain&apos;', 'NN')=1,
('pains',)	('pain', 'NNS')=1,
('painting',)	('painting', 'NN')=8,
('paintings',)	('painting', 'NNS')=3,
('palm',)	('palm', 'NN')=1,
('parallel',)	('parallel', 'JJ')=1,
('part',)	('part', 'NN')=8,
('parted',)	('parted', 'VVD')=1,('parted', 'VVN')=1,
('participants',)	('participant', 'NNS')=1,
('particular',)	('particular', 'JJ')=1,
('parts',)	('part', 'NNS')=2,
('party',)	('party', 'NN')=2,
('pass',)	('pass', 'VV')=1,
('passage',)	('passage', 'NN')=1,
('passing',)	('pass', 'VVG')=1,
('past',)	('past', 'NN')=1,
('paths',)	('path', 'NNS')=1,
('patron',)	('patron', 'NN')=2,
('pattern',)	('pattern', 'NN')=1,
('pay',)	('pay', 'VV')=1,
('pays',)	('pay', 'VVZ')=1,
('peaks',)	('peak', 'NNS')=1,
('people',)	('people', 'NNS')=14,
('peoples',)	('people', 'NNS')=4,
('percentage',)	('percentage', 'NN')=1,
('perfectly',)	('perfectly', 'RB')=1,
('perhaps',)	('perhaps', 'RB')=4,
('peripheral',)	('peripheral', 'JJ')=3,
('peripherals',)	('peripheral', 'NNS')=1,
('periphery',)	('periphery', 'NN')=1,
('person',)	('person', 'NN')=4,
('personal',)	('personal', 'JJ')=4,
('personality',)	('personality', 'NN')=1,
('perspective',)	('perspective', 'NN')=13,
('persuades',)	('persuade', 'VVZ')=1,
('pessimism',)	('pessimism', 'NN')=3,
('pessimists',)	('pessimist', 'NNS')=1,
('petty',)	('petty', 'JJ')=2,
('phantasmagoria',)	('phantasmagoria', 'NN')=1,
('phantasmagorical',)	('phantasmagoric', 'JJ')=6,
('phantasmagoricals',)	('phantasmagoricals', 'NNS')=1,
('phenomenon',)	('phenomenon', 'NN')=1,
('philanthropic',)	('philanthropic', 'JJ')=1,
('philosophers',)	('philosopher', 'NNS')=1,
('philosophy',)	('philosophy', 'NN')=1,
('photograph',)	('photograph', 'NN')=3,
('photographs',)	('photograph', 'NNS')=2,
('photography',)	('photography', 'NN')=2,
('physical',)	('physical', 'JJ')=1,
('physically',)	('physically', 'RB')=1,
('picture',)	('picture', 'NN')=7,
('pictures',)	('picture', 'NNS')=4,
('piece',)	('piece', 'NN')=1,
('pigtails',)	('pigtail', 'NNS')=2,
('pity',)	('pity', 'NN')=2,
('place',)	('place', 'NN')=9,
('placed',)	('place', 'VVD')=2,('place', 'VVN')=1,
('places',)	('place', 'NNS')=1,
('plain',)	('plain', 'RB')=1,('plain', 'NN')=1,
('planes',)	('plane', 'NNS')=1,
('planted',)	('plant', 'VVN')=1,
('play',)	('play', 'NN')=1,
('played',)	('play', 'VVN')=2,
('playing',)	('playing', 'NN')=1,
('plays',)	('play', 'VVZ')=1,
('pleasant',)	('pleasant', 'JJ')=1,
('pleasure',)	('pleasure', 'NN')=3,
('plebeian',)	('plebeian', 'NN')=1,
('plot',)	('plot', 'NN')=2,
('poem',)	('poem', 'NN')=3,
('poet',)	('poet', 'NN')=1,
('poetry',)	('poetry', 'NN')=1,
('point',)	('point', 'NN')=4,('point', 'VV')=1,
('points',)	('point', 'NNS')=1,('point', 'VVZ')=1,
('political',)	('political', 'JJ')=6,
('politician',)	('politician', 'NN')=1,
('politicians',)	('politician', 'NNS')=1,
('politicised',)	('politicize', 'VVN')=1,
('politics',)	('politics', 'NNS')=10,
('polluted',)	('polluted', 'JJ')=1,
('polytechnic',)	('polytechnic', 'NN')=2,
('poor',)	('poor', 'JJ')=2,
('popular',)	('popular', 'JJ')=2,
('population',)	('population', 'NN')=1,
('populos',)	('populos', 'NP')=1,
('pornography',)	('pornography', 'NN')=1,
('portrait',)	('portrait', 'NN')=1,
('portrayal',)	('portrayal', 'NN')=1,
('possessing',)	('possess', 'VVG')=1,
('possibilities',)	('possibility', 'NNS')=1,
('possibility',)	('possibility', 'NN')=1,
('possible',)	('possible', 'JJ')=4,
('power',)	('power', 'NN')=2,
('powerful',)	('powerful', 'JJ')=1,
('practical',)	('practical', 'JJ')=1,
('practically',)	('practically', 'RB')=1,
('practices',)	('practice', 'NNS')=1,
('practised',)	('practise', 'VVN')=1,
('pragmatic',)	('pragmatic', 'JJ')=1,
('preconception',)	('preconception', 'NN')=1,
('predicting',)	('predict', 'VVG')=1,
('prefaced',)	('preface', 'VVN')=1,
('prefatory',)	('prefatory', 'JJ')=1,
('prefer',)	('prefer', 'VV')=1,
('preoccupied',)	('preoccupy', 'VVN')=1,
('prepared',)	('prepare', 'VVN')=1,
('presence',)	('presence', 'NN')=1,
('present',)	('present', 'JJ')=1,
('presents',)	('present', 'VVZ')=2,
('pretensions',)	('pretension', 'NNS')=1,
('pretty',)	('pretty', 'JJ')=1,
('prevail',)	('prevail', 'VVP')=1,
('prevails',)	('prevail', 'VVZ')=1,
('prevent',)	('prevent', 'VV')=1,
('previous',)	('previous', 'JJ')=3,
('previously',)	('previously', 'RB')=2,
('price',)	('price', 'NN')=1,
('pride',)	('pride', 'NN')=1,
('print',)	('print', 'NN')=4,
('private',)	('private', 'JJ')=1,
('probat',)	('probat', 'NP')=1,
('proceed',)	('proceed', 'VVP')=1,
('produced',)	('produce', 'VVD')=1,
('prominence',)	('prominence', 'NN')=1,
('promoted',)	('promote', 'VVN')=1,
('properly',)	('properly', 'RB')=1,
('prose',)	('prose', 'NN')=1,
('prospective',)	('prospective', 'JJ')=1,
('protesting',)	('protest', 'VVG')=1,
('prove',)	('prove', 'VV')=1,
('pseudo-guerrillas',)	('pseudo-guerrillas', 'NNS')=1,
('psychological',)	('psychological', 'JJ')=1,
('public',)	('public', 'JJ')=1,
('publicise',)	('publicize', 'VV')=1,
('published',)	('publish', 'VVD')=1,
('purpose',)	('purpose', 'NN')=2,
('put',)	('put', 'VVN')=3,('put', 'VV')=1,('put', 'VVD')=1,
('puts',)	('put', 'VVZ')=1,
('puzzled',)	('puzzle', 'VVN')=1,
('qualities',)	('quality', 'NNS')=2,
('quality',)	('quality', 'NN')=2,
('queen',)	('queen', 'NN')=1,
('question',)	('question', 'NN')=1,
('questions',)	('question', 'NNS')=1,
('quick',)	('quick', 'JJ')=1,
('quite',)	('quite', 'RB')=1,
('quits',)	('quit', 'VVZ')=1,
('quitters',)	('quitter', 'NNS')=1,
('race',)	('race', 'NN')=5,
('races',)	('race', 'NNS')=3,
('racial',)	('racial', 'JJ')=3,
('radical',)	('radical', 'JJ')=1,
('raises',)	('raise', 'VVZ')=1,
('raising',)	('raise', 'VVG')=1,
('random',)	('random', 'JJ')=1,
('ranging',)	('range', 'VVG')=1,
('rankness',)	('rankness', 'NN')=1,
('rapids',)	('rapids', 'NN')=1,
('rare',)	('rare', 'JJ')=1,
('rarely',)	('rarely', 'RB')=2,
('reaches',)	('reach', 'VVZ')=1,
('reaching',)	('reach', 'VVG')=1,
('react',)	('react', 'VV')=1,
('reaction',)	('reaction', 'NN')=1,
('reactivating',)	('reactivate', 'VVG')=1,
('reader',)	('reader', 'NN')=8,
('readers',)	('reader', 'NNS')=6,
('readily',)	('readily', 'RB')=1,
('reading',)	('reading', 'NN')=1,
('reads',)	('read', 'VVZ')=1,
('real',)	('real', 'JJ')=2,
('realise',)	('realize', 'VV')=1,
('realised',)	('realize', 'VVN')=1,
('reality',)	('reality', 'NN')=2,
('really',)	('really', 'RB')=1,
('reason',)	('reason', 'NN')=1,
('reasonable',)	('reasonable', 'JJ')=1,
('rebellion',)	('rebellion', 'NN')=1,
('rebels',)	('rebel', 'NNS')=2,
('rebuild',)	('rebuild', 'VV')=1,
('recall',)	('recall', 'VV')=1,
('receding',)	('recede', 'VVG')=1,
('receive',)	('receive', 'VV')=1,
('recognising',)	('recognize', 'VVG')=1,
('record',)	('record', 'VV')=1,
('recorded',)	('record', 'VVN')=1,('record', 'VVD')=1,
('records',)	('record', 'NNS')=1,('record', 'VVZ')=1,
('recounts',)	('recount', 'VVZ')=1,
('red',)	('red', 'JJ')=2,
('reference',)	('reference', 'NN')=1,
('refinement',)	('refinement', 'NN')=1,
('reflect',)	('reflect', 'VV')=2,
('reflections',)	('reflectance', 'NNS')=1,
('refugees',)	('refugee', 'NNS')=1,
('regime',)	('regime', 'NN')=1,
('rejects',)	('reject', 'VVZ')=2,
('related',)	('relate', 'VVN')=1,
('relations',)	('relation', 'NNS')=1,
('relationship',)	('relationship', 'NN')=3,
('relatively',)	('relatively', 'RB')=1,
('religion',)	('religion', 'NN')=2,
('religious',)	('religious', 'JJ')=4,
('remain',)	('remain', 'VV')=1,
('remained',)	('remain', 'VVD')=2,
('remains',)	('remain', 'VVZ')=1,
('remember',)	('remember', 'VV')=1,
('remote',)	('remote', 'JJ')=3,
('rendered',)	('render', 'VVN')=1,
('renders',)	('render', 'VVZ')=1,
('replied',)	('reply', 'VVD')=1,
('represent',)	('represent', 'VV')=1,
('representation',)	('representation', 'NN')=2,
('represented',)	('represent', 'VVN')=1,
('representing',)	('represent', 'VVG')=1,
('reprisal',)	('reprisal', 'NN')=1,
('reproduction',)	('reproduction', 'NN')=1,
('republic',)	('republic', 'NN')=1,
('reputation',)	('reputation', 'NN')=1,
('requires',)	('require', 'VVZ')=1,
('resembles',)	('resemble', 'VVZ')=1,
('residence',)	('residence', 'NN')=1,
('resistance',)	('resistance', 'NN')=1,
('resonances',)	('resonance', 'NNS')=1,
('respect',)	('respect', 'NN')=1,
('respectively',)	('respectively', 'RB')=1,
('response',)	('response', 'NN')=3,
('responses',)	('response', 'NNS')=4,
('rest',)	('rest', 'NN')=2,('rest', 'VV')=1,
('restore',)	('restore', 'VV')=1,
('resultant',)	('resultant', 'JJ')=1,
('return',)	('return', 'NN')=2,('return', 'VV')=1,
('returns',)	('return', 'VVZ')=1,
('revealing',)	('reveal', 'VVG')=1,
('revenge',)	('revenge', 'NN')=2,
('reverse',)	('reverse', 'VV')=1,
('reversed',)	('reversed', 'JJ')=1,
('reverses',)	('reverse', 'VVZ')=1,
('revert',)	('revert', 'VV')=1,
('revive',)	('revive', 'VV')=1,
('revolution',)	('revolution', 'NN')=2,
('revolutionaries',)	('revolutionary', 'NNS')=2,
('revolutionary',)	('revolutionary', 'JJ')=2,
('revulsion',)	('revulsion', 'NN')=1,
('rhythms',)	('rhythm', 'NNS')=1,
('rich',)	('rich', 'JJ')=1,
('rid',)	('rid', 'JJ')=1,
('right',)	('right', 'NN')=1,
('rioting',)	('rioting', 'NN')=1,
('riots',)	('riot', 'NNS')=3,
('rise',)	('rise', 'VV')=3,('rise', 'NN')=1,
('risks',)	('risk', 'NNS')=1,
('ritual',)	('ritual', 'NN')=2,
('river',)	('river', 'NN')=2,
('roads',)	('road', 'NNS')=1,
('role',)	('role', 'NN')=1,
('romantically',)	('romantically', 'RB')=1,
('rot',)	('rot', 'NN')=1,
('rough',)	('rough', 'JJ')=1,
('rubbish',)	('rubbish', 'JJ')=1,
('ruck',)	('ruck', 'NN')=1,
('ruined',)	('ruin', 'VVN')=1,
('rule',)	('rule', 'VV')=1,
('rules',)	('rule', 'NNS')=1,
('rumour',)	('rumour', 'NN')=1,
('rumoured',)	('rumour', 'VVN')=1,
('run',)	('run', 'VVN')=1,('run', 'VV')=1,
('rush',)	('rush', 'VVP')=1,
('russet',)	('russet', 'JJ')=1,
('ruthless',)	('ruthless', 'JJ')=1,
('safe',)	('safe', 'JJ')=1,
('sagacity',)	('sagacity', 'NN')=1,
('said',)	('say', 'VVN')=6,('say', 'VVD')=4,
('salient',)	('salient', 'JJ')=1,
('same',)	('same', 'JJ')=8,
('sanctions',)	('sanction', 'NNS')=1,
('satisfaction',)	('satisfaction', 'NN')=1,
('satisfactory',)	('satisfactory', 'JJ')=1,
('saw',)	('see', 'VVD')=1,
('say',)	('say', 'VV')=3,('say', 'VVP')=3,
('saying',)	('say', 'VVG')=1,
('says',)	('say', 'VVZ')=2,
('scene',)	('scene', 'NN')=5,
('sceptical',)	('sceptical', 'JJ')=1,
('scheme',)	('scheme', 'NN')=1,
('scholar',)	('scholar', 'NN')=1,
('schoolgirl',)	('schoolboy', 'NN')=1,
('science',)	('science', 'NN')=2,
('scientific',)	('scientific', 'JJ')=2,
('scorn',)	('scorn', 'NN')=2,
('screaming',)	('scream', 'VVG')=1,
('sculpture',)	('sculpture', 'NN')=2,
('sculptures',)	('sculpture', 'NNS')=1,
('sea',)	('sea', 'NN')=2,
('seaside',)	('seaside', 'NN')=1,
('second',)	('second', 'JJ')=1,('second', 'NN')=1,
('secret',)	('secret', 'NN')=1,
('secure',)	('secure', 'VV')=1,
('see',)	('see', 'VV')=3,('see', 'VVP')=2,
('seeing',)	('seeing', 'VVG')=1,
('seeking',)	('seek', 'VVG')=1,
('seem',)	('seem', 'VV')=4,('seem', 'VVP')=3,
('seemed',)	('seem', 'VVD')=5,
('seems',)	('seem', 'VVZ')=6,
('seen',)	('see', 'VVN')=5,
('sees',)	('see', 'VVZ')=2,
('self',)	('self', 'NN')=1,
('self-righteous',)	('self-righteous', 'JJ')=1,
('self-styled',)	('self-styled', 'JJ')=1,
('seminar',)	('seminar', 'NN')=1,
('sense',)	('sense', 'NN')=6,
('senses',)	('sense', 'NNS')=1,
('sensible',)	('sensible', 'JJ')=1,
('sentence',)	('sentence', 'NN')=1,
('separated',)	('separated', 'JJ')=1,('separate', 'VVN')=1,
('separates',)	('separate', 'VVZ')=2,
('separation',)	('separation', 'NN')=1,
('series',)	('series', 'NN')=1,
('serious',)	('serious', 'JJ')=1,
